id	path	surface_kind	owner	workflow_rule	local_proof	github_or_remote_proof	scorecard_rows
DXRHA-INV-001	packages/agent/docs/developer-experience-repo-hygiene-automation-scorecard.md	static_gate	dxrha-docs-owner	Weighted closure ledger for the DXRHA slice	developer_experience_repo_hygiene_automation_invariants	README living-doc reference	DXRHA-0,DXRHA-8,DXRHA-10
DXRHA-INV-002	packages/agent/docs/developer-experience-repo-hygiene-automation-evidence-manifest.md	branch_handoff	dxrha-docs-owner	Command evidence and handoff ledger for DXRHA closeout	developer_experience_repo_hygiene_automation_invariants	README living-doc reference	DXRHA-0,DXRHA-9,DXRHA-10
DXRHA-INV-003	packages/agent/docs/developer-experience-repo-hygiene-automation-inventory.md	docs_upkeep	dxrha-docs-owner	Narrative taxonomy for workflow surfaces	developer_experience_repo_hygiene_automation_invariants	README living-doc reference	DXRHA-1,DXRHA-8
DXRHA-INV-004	packages/agent/docs/developer-experience-repo-hygiene-automation-inventory.tsv	static_gate	dxrha-docs-owner	Machine-readable workflow surface map	developer_experience_repo_hygiene_automation_invariants	README living-doc reference	DXRHA-1,DXRHA-10
DXRHA-INV-005	packages/agent/tests/developer_experience_repo_hygiene_automation_invariants.rs	tests	dxrha-test-owner	Static gate ties artifacts, source guards, local/GitHub parity, ignored files, and predecessor rows together	cargo test --test developer_experience_repo_hygiene_automation_invariants	GitHub rust-static-gates	DXRHA-2,DXRHA-3,DXRHA-5,DXRHA-10
DXRHA-INV-006	scripts/tron	setup	script-owner	Root CLI exposes setup, install, dev, CI, version, manual-deploy, and service commands without a deploy alias	README CLI reference	source dispatch audit	DXRHA-2,DXRHA-6,DXRHA-9
DXRHA-INV-007	scripts/tron.d/dev.sh	dev_server	dev-script-owner	`tron dev` stops production ownership of port 9847, supports JSON/background waits, and restores installed helper through health gate	dev.sh source guard	README and Mac docs	DXRHA-2,DXRHA-6
DXRHA-INV-008	scripts/tron.d/quality.sh	local_ci	quality-script-owner	Local CI closeout target list includes DXRHA in the same order as GitHub static gates	parsed by DXRHA invariant	GitHub static-gates parity	DXRHA-3,DXRHA-10
DXRHA-INV-009	.github/workflows/ci.yml	github_ci	ci-owner	Rust static gates mirror local closeout targets and platform jobs guard generated projects	parsed by DXRHA invariant	GitHub Actions config	DXRHA-3,DXRHA-4,DXRHA-10
DXRHA-INV-010	.github/pull_request_template.md	docs_upkeep	review-workflow-owner	PR checklist keeps local closeout hygiene visible before review	DXRHA invariant	source review template	DXRHA-2,DXRHA-8
DXRHA-INV-011	CONTRIBUTING.md	docs_upkeep	contributor-docs-owner	Contributor docs describe setup, `tron dev --stop`, Mac helper staging, and manual-only deployment	DXRHA invariant	README parity	DXRHA-2,DXRHA-6,DXRHA-8
DXRHA-INV-012	README.md	docs_upkeep	root-docs-owner	Canonical docs list DXRHA artifacts, CLI workflow, runtime state, generated projects, release boundaries, and closeout tests	DXRHA invariant	README maintenance table	DXRHA-6,DXRHA-8,DXRHA-10
DXRHA-INV-013	AGENTS.md	docs_upkeep	project-rules-owner	Project rules require code/tests/docs together, README maintenance, generated project discipline, and no production deploys	source audit	project rules	DXRHA-8,DXRHA-10
DXRHA-INV-014	scripts/install-hooks.sh	local_ci	hooks-owner	Pre-commit hooks install local formatting and personal-info guard checks	source audit	CONTRIBUTING hook docs	DXRHA-2,DXRHA-5
DXRHA-INV-015	scripts/personal-info-guard.sh	personal_info_guard	privacy-guard-owner	Full and staged scans reject personal paths, usernames, and secrets	scripts/personal-info-guard.sh	CI personal-info guard	DXRHA-5,DXRHA-10
DXRHA-INV-016	scripts/tron-version	version_release	version-helper-owner	VERSION.env remains the only hand-edited version source and helper checks mirrors	scripts/tron version check/test	CI version-drift job	DXRHA-7,DXRHA-10
DXRHA-INV-017	scripts/tron-release-notes	version_release	release-notes-owner	Release-notes helper has deterministic self-test coverage without deploy automation	scripts/tron-release-notes --test	CI version-drift job	DXRHA-7,DXRHA-10
DXRHA-INV-018	.github/workflows/release-ios.yml	release_boundary	ios-release-owner	Tag-triggered iOS release regenerates project and verifies committed drift before archive	source audit	release workflow	DXRHA-4,DXRHA-7
DXRHA-INV-019	.github/workflows/release-mac.yml	release_boundary	mac-release-owner	Tag-triggered Mac release builds, signs, notarizes, checks ignored Mac project, and generates release notes	source audit	release workflow	DXRHA-4,DXRHA-7
DXRHA-INV-020	.gitignore	ignored_artifact	repo-hygiene-owner	Root ignore rules cover Rust target output, Xcode build outputs, xcresults, DerivedData, scripts artifacts, Node modules, and local env files	git ls-files -ci --exclude-standard	DXRHA invariant	DXRHA-5
DXRHA-INV-021	packages/mac-app/.gitignore	ignored_artifact	mac-hygiene-owner	Mac generated project and helper binaries stay ignored	git check-ignore -q packages/mac-app/TronMac.xcodeproj	CI Mac generated-project guard	DXRHA-4,DXRHA-5
DXRHA-INV-022	packages/ios-app/project.yml	generated_project	ios-project-owner	XcodeGen source owns iOS project generation	xcodegen generate	CI iOS generated-project guard	DXRHA-4
DXRHA-INV-023	packages/ios-app/TronMobile.xcodeproj/project.pbxproj	generated_project	ios-project-owner	Tracked generated iOS project must match project.yml after XcodeGen	git diff --exit-code packages/ios-app/TronMobile.xcodeproj	CI iOS generated-project guard	DXRHA-4,DXRHA-10
DXRHA-INV-024	packages/mac-app/project.yml	generated_project	mac-project-owner	XcodeGen source owns Mac project; generated project stays ignored	xcodegen generate and git check-ignore	CI Mac generated-project guard	DXRHA-4
DXRHA-INV-025	packages/mac-app/docs/development.md	docs_upkeep	mac-doc-owner	Mac development docs record helper staging, Debug/Release variants, `tron dev`, and generated project policy	DXRHA source audit	Mac docs	DXRHA-4,DXRHA-6,DXRHA-8
DXRHA-INV-026	packages/mac-app/docs/architecture.md	docs_upkeep	mac-architecture-owner	Mac architecture docs define SMAppService, port ownership, helper paths, and workflow variants	DXRHA source audit	Mac docs	DXRHA-4,DXRHA-6
DXRHA-INV-027	packages/ios-app/docs/development.md	docs_upkeep	ios-doc-owner	iOS development docs define XcodeGen, simulator testing, pairing, diagnostics, and local actions	DXRHA source audit	iOS docs	DXRHA-4,DXRHA-8
DXRHA-INV-028	packages/ios-app/docs/architecture.md	docs_upkeep	ios-architecture-owner	iOS architecture docs define thin-client and generated runtime shell boundaries	DXRHA source audit	iOS docs	DXRHA-4,DXRHA-8
DXRHA-INV-029	packages/agent/src/lib.rs	docs_upkeep	rust-crate-owner	Top-level Rust module docs remain the README module-tree source of truth	README maintenance audit	Rust docs	DXRHA-8
DXRHA-INV-030	scripts/tron-lib.sh	setup	runtime-home-owner	Setup seeds profiles, workspace, memory, and internal runtime state under `~/.tron`	DXRHA invariant	README install-directory docs	DXRHA-6
DXRHA-INV-031	scripts/tron.d/manual-deploy.sh	release_boundary	manual-deploy-owner	Manual contributor deploy stays explicit and health-gated, not hidden in CI or dev workflow	source audit	README deployment docs	DXRHA-2,DXRHA-6
DXRHA-INV-032	scripts/tron-lib.d/service.sh	release_boundary	service-script-owner	Start/restart/rollback service helpers preserve health gates and manual production boundaries	source audit	README deployment docs	DXRHA-2,DXRHA-6
DXRHA-INV-033	.codex/environments/environment.toml	dev_server	codex-action-owner	Local Codex actions call dev and iOS helper commands without production deploy automation	source audit	README local actions	DXRHA-6,DXRHA-9
DXRHA-INV-034	packages/agent/docs/primitive-code-cleanup-file-inventory.tsv	predecessor_inventory	pcc-owner	PCC inventory classifies new DXRHA artifacts	PCC invariant	static gates	DXRHA-8
DXRHA-INV-035	packages/agent/docs/true-primitive-cleanup-retention-inventory.tsv	predecessor_inventory	tpc-owner	TPC retention inventory classifies new DXRHA artifacts	TPC invariant	static gates	DXRHA-8
DXRHA-INV-036	packages/agent/docs/hierarchical-rearchitecture-file-inventory.tsv	predecessor_inventory	hra-owner	HRA tracked-file inventory classifies new DXRHA artifacts	HRA invariant	static gates	DXRHA-8
DXRHA-INV-037	packages/agent/docs/hierarchical-rearchitecture-current-ownership-map.tsv	predecessor_inventory	hra-owner	HRA ownership map classifies new DXRHA artifacts	HRA invariant	static gates	DXRHA-8
DXRHA-INV-038	packages/agent/docs/release-install-upgrade-rollback-discipline-inventory.tsv	predecessor_inventory	riurd-owner	RIURD inventory records DXRHA release/install workflow extension	RIURD invariant	static gates	DXRHA-6,DXRHA-8
DXRHA-INV-039	packages/agent/docs/ios-thin-client-generic-runtime-shell-inventory.tsv	predecessor_inventory	iostc-owner	IOSTC inventory records DXRHA iOS generated-project and simulator workflow extension	IOSTC invariant	static gates	DXRHA-4,DXRHA-8
DXRHA-INV-040	packages/agent/docs/configuration-profile-environment-discipline-inventory.tsv	predecessor_inventory	cpe-owner	CPE inventory records DXRHA setup/profile/runtime-state documentation extension	CPE invariant	static gates	DXRHA-6,DXRHA-8
DXRHA-INV-041	packages/agent/docs/performance-resource-governance-inventory.tsv	predecessor_inventory	perf-owner	PERF inventory records DXRHA bounded artifact/cache workflow extension	PERF invariant	static gates	DXRHA-5,DXRHA-8
DXRHA-INV-042	packages/agent/docs/public-protocol-api-contract-discipline-inventory.tsv	predecessor_inventory	ppacd-owner	PPACD inventory records DXRHA protocol/docs CI workflow extension	PPACD invariant	static gates	DXRHA-8
DXRHA-INV-043	packages/agent/docs/data-integrity-storage-evolution-migration-discipline-inventory.tsv	predecessor_inventory	dsemd-owner	DSEMD inventory records DXRHA runtime-state and ignored-artifact workflow extension	DSEMD invariant	static gates	DXRHA-5,DXRHA-6,DXRHA-8
DXRHA-INV-044	packages/agent/docs/observability-diagnostics-auditability-inventory.tsv	predecessor_inventory	oda-owner	ODA inventory records DXRHA evidence and diagnostics workflow extension	ODA invariant	static gates	DXRHA-8,DXRHA-10
DXRHA-INV-045	packages/agent/docs/security-authority-capability-boundaries-inventory.tsv	predecessor_inventory	sacb-owner	SACB inventory records DXRHA no-deploy and personal-info boundary extension	SACB invariant	static gates	DXRHA-5,DXRHA-8
DXRHA-INV-046	packages/agent/docs/concurrency-scheduling-discipline-inventory.tsv	predecessor_inventory	csd-owner	CSD inventory records DXRHA local/GitHub test scheduling extension	CSD invariant	static gates	DXRHA-3,DXRHA-8
DXRHA-INV-047	packages/agent/docs/state-ownership-lifecycle-inventory.tsv	predecessor_inventory	sol-owner	SOL inventory records DXRHA runtime-state and test fixture ownership extension	SOL invariant	static gates	DXRHA-6,DXRHA-8
DXRHA-INV-048	packages/agent/docs/off-plan-saa-authorship-teardown-cleanup-inventory.tsv	predecessor_inventory	off-plan-cleanup-owner	Off-plan authorship teardown inventory records DXRHA as original-slice workflow hardening, not post-cleanup feature scope	off-plan cleanup invariant	static gates	DXRHA-0,DXRHA-8
DXRHA-INV-049	packages/agent/docs/developer-experience-repo-hygiene-automation-evidence-manifest.md	branch_handoff	branch-owner	`git status --short` is the branch handoff truth before and after closeout	git status --short	branch pickup evidence	DXRHA-9,DXRHA-10
DXRHA-INV-050	packages/agent/docs/developer-experience-repo-hygiene-automation-evidence-manifest.md	ignored_artifact	git-hygiene-owner	`git ls-files -ci --exclude-standard` must stay empty	git ls-files -ci --exclude-standard	DXRHA invariant	DXRHA-5,DXRHA-10
DXRHA-INV-051	packages/agent/tests/developer_experience_repo_hygiene_automation_invariants.rs	tests	dxrha-test-owner	Focused DXRHA target proves scorecard, inventory, CI parity, docs, and ignored artifact hygiene	cargo test --test developer_experience_repo_hygiene_automation_invariants	GitHub rust-static-gates	DXRHA-10
DXRHA-INV-052	scripts/tron.d/quality.sh	local_ci	quality-owner	Broad closeout command runs local formatting, check, clippy, and full test target set	scripts/tron ci fmt check clippy test	README/PR template	DXRHA-3,DXRHA-10
DXRHA-INV-053	packages/ios-app/TronMobile.xcodeproj/project.pbxproj	generated_project	ios-project-owner	Final generated iOS project proof must be run after XcodeGen	git diff --exit-code packages/ios-app/TronMobile.xcodeproj	CI iOS generated-project guard	DXRHA-4,DXRHA-10
DXRHA-INV-054	packages/agent/docs/developer-experience-repo-hygiene-automation-evidence-manifest.md	ignored_artifact	diff-hygiene-owner	Whitespace hygiene is an explicit closeout proof	git diff --check	PR template	DXRHA-5,DXRHA-10
DXRHA-INV-055	packages/agent/docs/developer-experience-repo-hygiene-automation-scorecard.md	branch_handoff	branch-owner	Current implementation branch retains source-audited DXRHA completion evidence	git branch --show-current	coordinator thread handoff	DXRHA-0,DXRHA-9
DXRHA-INV-056	packages/agent/docs/developer-experience-repo-hygiene-automation-scorecard.md	branch_handoff	branch-owner	Stale branch remains quarry-only and must not be merged, cherry-picked, or copied wholesale	git branch --list	coordinator thread handoff	DXRHA-0,DXRHA-9
DXRHA-INV-057	packages/agent/docs/documentation-evidence-scorecard-integrity-scorecard.md	docs_upkeep	desi-docs-owner	DESI scorecard preserves active documentation evidence and scorecard integrity	documentation_evidence_scorecard_integrity_invariants	GitHub rust-static-gates	DXRHA-8,DXRHA-10
DXRHA-INV-058	packages/agent/docs/documentation-evidence-scorecard-integrity-evidence-manifest.md	branch_handoff	desi-docs-owner	DESI evidence records command provenance branch handoff and stale branch quarantine	documentation_evidence_scorecard_integrity_invariants	GitHub rust-static-gates	DXRHA-8,DXRHA-9,DXRHA-10
DXRHA-INV-059	packages/agent/docs/documentation-evidence-scorecard-integrity-inventory.md	docs_upkeep	desi-docs-owner	DESI inventory classifies active current and historical evidence surfaces	documentation_evidence_scorecard_integrity_invariants	README living-doc reference	DXRHA-8,DXRHA-10
DXRHA-INV-060	packages/agent/docs/documentation-evidence-scorecard-integrity-inventory.tsv	static_gate	desi-docs-owner	DESI machine-readable inventory records docs evidence scorecard and predecessor surfaces	documentation_evidence_scorecard_integrity_invariants	GitHub rust-static-gates	DXRHA-3,DXRHA-8,DXRHA-10
DXRHA-INV-061	packages/agent/tests/documentation_evidence_scorecard_integrity_invariants.rs	tests	desi-test-owner	DESI invariant extends local/GitHub target parity and evidence integrity checks	cargo test --test documentation_evidence_scorecard_integrity_invariants	GitHub rust-static-gates	DXRHA-3,DXRHA-8,DXRHA-10
