id	slice	product_outcome	classification	core_involvement	module_owner	user_surface	agent_self_adaptation	implementation_scope	discovery_questions	reject_scope	acceptance_gates	validation	status	predecessors
P3MSA-INV-001	Slice 23A Module Manifest And Registry Foundation	Agent and user can inspect available module identities capabilities resources authority needs settings dependency intents validation status and provenance without execution	module_plane	registry	module_registry	Runtime Cockpit generic module facts	inspect_only	Accepted Slice 23A adds module_manifest schema and source-backed seed records plus provider-safe module_list/module_inspect execute-only inspection with exact read-only module/resource authority selectors and docs boundary	What is the smallest manifest; where is registry source truth; which fields are provider-safe; which old worker package facts are reused	Install execution dependency additions public engine marketplace fixed native UI	Manifest/resource/schema parity; no execution; execute-only inspection; protected metadata redaction	cargo fmt/check; focused registry tests; provider boundary; DESI/BPRC/SSARR/SUWRF/TMB/SACB; personal-info guard; diff check; self-sufficient-agent-runtime-readiness classification as accepted inspect-only foundation not runtime completion	current_baseline	Phase 2 Slice 9B; Phase 2 Slice 22A
P3MSA-INV-002	Slice 23B Module Authoring Workspace Foundation	Agent can draft bounded module proposals in governed workspace state outside core and outside repo-managed skills	module_plane	storage	module_authoring	Runtime Cockpit proposal facts	proposal	Accepted Slice 23B adds module_proposal resource schema and module_proposal_record/list/inspect execute operations with bounded refs lifecycle idempotency fingerprints trace/replay fingerprints exact inspect selectors and no install/execution/dependency/package-manager/network/workspace-directory/repo-managed-skills side effects	Where should drafts live; how are source refs bounded; how are unsafe paths denied; what is visible to provider	Automatic install generated code execution prompt injection unreviewed dependencies packages/agent/skills	Proposal lifecycle; record/list/inspect raw-field and path denial; exact and embedded token-like provider-visible metadata denial; bounded projections; no prompt injection; no install side effects; exact inspect selector authorization	focused authoring/resource/path/idempotency/provider projection tests including read-operation unsafe payload denial, exact and embedded token-like provider-visible metadata denial, trace redaction, capability grant and authorization tests, SACB, TMB, SSARR, PCC, TPC, and personal-info guard	current_baseline	P3MSA-INV-001
P3MSA-INV-003	Slice 23C Module Contract Test Harness	Agent can produce deterministic validation evidence for a module before review or install	module_plane	storage	module_validation	Generic validation report rendering	validated_change	Accepted Slice 23C adds module_validation_report resource schema and module_validation_record/list/inspect execute operations with bounded module/proposal refs parity checks docs/tests evidence command/result refs failure evidence lifecycle idempotency fingerprints exact inspect selectors and no install/execution/network/dependency/package-manager/repo-managed-skills side effects	Which checks are mandatory; how are command result refs bounded; how are failures retained; how is validation replayed without execution	Runtime untrusted code broad CI rewrite install without validation unbounded logs raw commands raw env raw code raw file contents dependency restoration package managers network side effects	Validation report schema; deterministic command identity/result refs; raw shell ref denial; bounded projections; manifest/resource/provider parity; required docs/tests evidence; exact selector authorization; no execution proof	focused module_validation tests; capability grant and authorization tests; raw shell command ref denial and safe summary tests; SACB; TMB; PCC; TPC; DESI; PMBD; PPACD; SSARR; ODA; personal-info guard	current_baseline	P3MSA-INV-001;P3MSA-INV-002
P3MSA-INV-004	Slice 23D Module Review Approval And Install Gate	User governs transition from validated proposal to install candidate through review approval authority dependency and rollback checks	module_plane	authority	module_install	Approval and cockpit install decision facts	installable	Accepted Slice 23D adds module_install_request and module_install_decision resource schemas plus module_install_request_record/list/inspect and module_install_decision_record/list/inspect execute operations with validation-report prerequisite revalidation approval freshness and derived-authority checks dependency policy metadata refs rollback proof metadata refs denial evidence lifecycle stream evidence exact inspect selectors and no install/execution/network/dependency/package-manager/repo-managed-skills side effects	Who may approve; what authority is granted; how dependencies are linked; what rollback proof is required	Silent auto install dependency restoration production update package trust claims without proof	Fail-closed approval; dependency policy link; metadata-only install-candidate state machine; denial evidence; no execution; no physical install	focused module_install tests including approval denial validation prerequisite unsafe payload exact selector resource schema idempotency lifecycle bounded projection and capability grant/authorization tests; SACB; TMB; PCC; TPC; PMBD; PPACD; DESI; SSARR; ODA; personal-info guard	current_baseline	P3MSA-INV-003
P3MSA-INV-005	Slice 23E Module Enable Disable Quarantine And Rollback	Installed modules can be enabled disabled quarantined or rolled back with audit and authorization	module_plane	authority	module_lifecycle	Runtime Cockpit lifecycle controls	installable	Accepted Slice 23E adds module_lifecycle_state resource schema plus module_lifecycle_request/decision/list/inspect execute operations with current install-candidate prerequisite revalidation approval freshness and derived-authority checks current-version lifecycle freshness bounded rollback proof metadata refs fail-closed disabled/quarantined runtime authorization metadata exact selectors lifecycle stream evidence and no install/activation/execution/network/dependency/package-manager/repo-managed-skills side effects	What state machine is minimal; what user action is required; how rollback composes with resources; what gets quarantined	Complex dependency graph execution side effects fixed package UI hidden activation	State transition guards; disabled/quarantined denial through lifecycle auth; rollback evidence; lifecycle streams	focused module_lifecycle tests including resource schema projections exact selectors lifecycle transitions freshness rollback prerequisite approval and runtime-denial guards plus capability grant/authorization tests; SUWRF; SACB; TMB; SOL as touched; personal-info guard	current_baseline	P3MSA-INV-004
P3MSA-INV-006	Slice 23F Module Runtime Execution Supervisor	Enabled modules can run through a generic supervised envelope while feature semantics stay package-owned	module_plane	runtime	module_runtime	Generic active work logs outputs and cancellation	active_runtime	Accepted Slice 23F adds module_runtime_state schema plus module_runtime_request/list/inspect/cancel execute operations with enabled lifecycle prerequisite exact runtime/lifecycle selectors trace-safe runtime request projection sandbox network secrets timeout cancellation shutdown bounded output refs scoped authority and side-effect proof metadata	What supervisor primitive is truly core; how are logs stored; how does cancellation work; what sandbox labels are required	PTY by default browser automation by default interpreter restoration live network package install raw command leakage direct provider-visible jobs raw commands logs stdout stderr paths env secrets code or file contents	Runtime envelope; bounded output refs; cancellation metadata; scoped authority; enabled lifecycle authorization; trace-safe request projection; no raw secrets commands logs output provider-visible	focused module_runtime resource projection lifecycle denial idempotency cancel grant derivation and engine authorization tests; cargo fmt/check; SACB; TMB; PPACD; PMBD; PERF; SSARR; ODA; DESI; personal-info guard	current_baseline	P3MSA-INV-005
P3MSA-INV-007	Slice 23G Module Dependency Request And Policy Activation	Modules can request dependencies with owner rationale and review instead of speculative restoration	module_plane	authority	module_dependencies	Cockpit dependency request and decision facts	installable	Accepted Slice 23G adds module_dependency_request module_dependency_decision and module_dependency_policy schemas plus request/decision/policy execute operations with owner linkage rationale security license runtime need removal plan risk class Cargo.toml/Cargo.lock parity evidence denial evidence exact selectors idempotency trace/replay refs bounded projections and networkPolicy none	Which removed dependency is needed by which module; what risk class; how is lockfile drift detected; who approves	Speculative dependency restoration portable-pty browser automation embeddings APNs interpreters signing packages without selected module package-manager execution Cargo.toml/Cargo.lock mutation raw dependency artifacts or package-manager output	Dependency request policy; Cargo.toml and Cargo.lock guard; high-risk denial without owner; docs evidence; no package-manager execution or manifest/lockfile mutation	focused module_dependencies tests; capability schema/provider guidance tests; grant/authorization tests; PCC; TPC; TMB; SACB; PMBD; PPACD; DESI; SSARR; ODA; PERF; cargo fmt/check; personal-info guard	current_baseline	P3MSA-INV-004
P3MSA-INV-008	Slice 23H Generic Autonomous Work Cockpit	User can see what autonomous work is happening why it is blocked what authority is used and what resources are touched	user_control_surface	observability	module_activity	Runtime Cockpit autonomous work dashboard	inspect_only	Accepted Slice 23H adds system-visible module_activity::overview projection over existing module-plane resources with server-owned redaction derived active waiting blocked ready recorded states authority labels touched-resource summaries rollback quarantine runtime-authorization gates and thin iOS Activity tab rendering	What generic facts exist; what does user need to trust autonomous work; where is generic insufficient; which events drive UI	Fixed old panels fake activity client-owned truth product-specific dashboards without module contracts provider-visible execute operation public engine API raw payload path command log grant authority trace invocation output install activation execution dependency restoration package-manager behavior network access	Thin client rendering; real server facts only; source guards; accessibility; no old panel resurrection; server owns redaction and iOS renders bounded projection only	focused module_activity tests; WorkerLifecycleDTOTests; AgentCockpitStateTests; AgentCockpitViewModelTests; SourceGuardTests product surface suite; xcodegen; cargo fmt/check; git diff checks; personal-info and no-managed-skills guards	current_baseline	P3MSA-INV-001;P3MSA-INV-005
P3MSA-INV-009	Slice 24A File And Source-Control Module Pack Activation	File and git work become a module-owned reviewable workflow rather than permanent core product logic	module_pack	authority	file_git_module	Optional native review only after proof	active_runtime	Accepted Slice 24A adds pending-review file_git_module manifest seed for existing filesystem and git execute operations plus exact filesystem git resource and trusted-working-directory authority mapping without agent_state fallback or provider-visible tool expansion	Which native review is needed after backend proof; what risky operations remain separate	Arbitrary checkout merge rebase reset stash fetch pull push PR conflict workflow unless separately selected; public engine API expansion; new provider-visible tools; package-manager network or deploy behavior	File/git module manifest; exact non-wildcard authority selectors; patch/materialized-file and Git evidence resources; no broad git expansion	focused module_registry filesystem git file_git grant and authorization tests; cargo fmt/check; SACB; TMB; BPRC; PPACD; personal-info and no-managed-skills guards; iOS tests only if touched	current_baseline	P3MSA-INV-006;Phase 2 Slice 4;Phase 2 Slice 6E
P3MSA-INV-010	Slice 24B Jobs And Program Execution Module Pack Activation	Program execution becomes real only through sandboxed module-owned runtime policy	module_pack	runtime	jobs_program_execution_module	Job monitor through generic cockpit	active_runtime	Accepted Slice 24B adds pending-review jobs_program_execution_module manifest plus module_program_execution_start status cancel cleanup through capability::execute with enabled lifecycle runtime envelope content-free program_execution_record evidence delegated durable job execution redacted output custody cleanup metadata exact runtime lifecycle program job output resource selectors and trace-safe provider projections	Which richer runtime comes after shell; what future dependency policy is needed; when network approvals become selectable; whether native job monitor is needed after generic cockpit proof	Unconstrained shell process_run as module surface package install PTY network raw command code stdin stdout stderr logs paths env pids grant ids raw job_process or execution_output payloads provider leakage fixed jobs panels production deploy update behavior packages/agent/skills	Pending-review module manifest; supervised runtime envelope; exact jobs/resource/job_process/execution_output selectors; bounded ref-only output custody; cancellation timeout cleanup metadata; provider-safe trace redaction; no default network/package install	focused module_program_execution jobs program_execution module_registry module_runtime resource projection replay selector provider-safety tests; cargo fmt/check; SACB; TMB; PCC/TPC; PMBD; PPACD; SSARR; ODA; personal-info and no-managed-skills guards	current_baseline	P3MSA-INV-006;P3MSA-INV-007;Phase 2 Slice 5A;Phase 2 Slice 15A
P3MSA-INV-011	Slice 24C Subagent Delegation Module Pack Activation	Subagent tasks can run as governed delegated work with bounded handoff and reviewable result merge	module_pack	runtime	subagent_module	Generic subagent work cards	active_runtime	Accepted Slice 24C activates subagent_launch status result cancel through capability::execute with explicit jobs_program_execution module-pack delegation, bounded handoff refs, exact subagent task and module runtime/job selectors, delegated runtime/program/job refs, and reviewable merge proposal evidence without silent parent mutation	Which worker runs child task; what context is shared; how are results merged; what approvals are required	Hidden autonomous spawning unbounded context direct parent mutation without evidence raw prompts raw results tool logs local paths secrets raw grant or authority ids public engine expansion fixed native panels package-manager network side effects repo-managed skills production deploy update behavior	Scoped launch; bounded context; status/result/cancel; merge proposal; no silent parent mutation; exact selectors; provider-safe projections	focused subagent module_program_execution provider guidance grant authorization PCC/TPC DESI PMBD PPACD checks; cargo fmt/check; personal-info and no-managed-skills guards	current_baseline	P3MSA-INV-006;Phase 2 Slice 10B
P3MSA-INV-012	Slice 24D Memory Retrieval And Retention Module Pack	Memory retrieval retention and prompt inclusion become swappable audited module behavior	module_pack	storage	memory_engine_module	Memory audit surface after generic cockpit	active_runtime	Accepted Slice 24D keeps a pending-review memory_engine_module manifest plus deterministic resource-backed memory_query retrieval results ranking confidence provenance bounded previews prompt-inclusion memory_decision proof retention edit delete policy evidence exact memory/resource selectors and networkPolicy none	Which future retrieval engine needs approved dependencies; when can bounded previews enter prompt context; which retention actions are policy-supported; whether generic cockpit is enough UI	Embeddings or vector stores without dependency approval hidden prompt injection invented summaries automatic retention without policy raw body/path/secret/provider leakage wildcard selectors public engine expansion package-manager or network side effects	Module manifest; deterministic retrieval provenance; prompt inclusion decision; retention/edit/delete audit; exact selectors; provider redaction; dependency approval if embeddings; no hidden memory	focused memory retrieval/prompt inclusion/retention tests; module registry tests; grant/authorization tests; provider guidance tests; SACB; DRC; CPE if settings touched; personal-info and no-managed-skills guards	current_baseline	P3MSA-INV-007;Phase 2 Slice 18A
P3MSA-INV-013	Slice 24E Procedural Skills Rules And Hooks Module Pack	Learned behavior becomes authorable testable reviewable and reversible module state	module_pack	authority	procedural_module	Procedural audit and activation facts	learned_behavior	Accepted Slice 24E keeps procedural definition activation request and activation decision records as metadata-only reviewed module-pack state with trigger declarations scoped authority validation activation deactivation rollback provenance exact procedural/resource selectors networkPolicy none and no hook firing prompt injection repo-managed skills or code execution	What can trigger automatically; what user review is needed; where are learned rules stored; how are conflicts resolved	Repo-managed bootstrap skills hidden hook firing prompt injection review bypass automatic activation generated/runtime execution package-manager or network side effects	Validation report; activation lifecycle; trigger authority; deactivation rollback; provenance; exact selectors; provider-safe projections; pending-review procedural_module manifest	focused procedural tests; module registry/provider guidance tests; SACB; TMB; PCC/TPC; DESI; SOL caveat verification; personal-info and no-managed-skills guards	current_baseline	P3MSA-INV-003;P3MSA-INV-005;Phase 2 Slice 11A
P3MSA-INV-014	Slice 24F Web Browser And Research Module Pack	Search crawling browser automation and logged-in research return only as authorized modules	module_pack	authority	web_research_module	Research source/citation cockpit surfaces	active_runtime	Accepted Slice 24F adds metadata-only web_research_request web_research_review and web_research_source resource custody plus provider-visible record list inspect operations and a pending-review web_research_module manifest with exact web_research/resource authority selectors and networkPolicy none	Which actual search provider browser driver dependency cookie custody and native research cockpit surfaces are approved in later slices	Broad browser automation in core login/cookie reuse without authority unbounded crawl raw dumps raw HTML browser logs package-manager execution network-enabled runtime defaults public engine APIs fixed native UI and packages/agent/skills	Metadata-only request review source records; bounded source citation robots dependency trace replay refs; exact kind:web_research_* and resource selectors; provider-safe projections; pending-review manifest; no network/browser behavior	focused web_research tests; module registry tests; grant/authorization tests; provider guidance/schema tests; SACB; TMB; PCC/TPC; PMBD; PPACD; DESI; SSARR; ODA; PERF; DRC/SOL caveat verification; personal-info and no-managed-skills guards	current_baseline	P3MSA-INV-007;Phase 2 Slice 8F
P3MSA-INV-015	Slice 24G Notifications And Device Delivery Module Pack	Server notification resources may activate live device delivery and native inbox after explicit product decision	module_pack	authority	notification_delivery_module	Native inbox only from server facts	active_runtime	Implementation-candidate Slice 24G adds a pending-review notification_delivery_module manifest for existing server-owned device_registration notification and notification_delivery resources with exact device and notification operation authority declarations, kind-selector-bounded generic resource authority declarations, networkPolicy none and validation gates for APNs credential custody environment labels entitlement proof physical-device validation delivery-failure evidence provider redaction and native inbox decisions	Should live APNs be enabled; what env; what native inbox shape; what delivery guarantees exist	Fake local inbox raw token exposure production push without explicit env public notification API native inbox without server facts live APNs transport entitlement mutation physical device operations package-manager execution network side effects and raw provider payload leakage	Pending-review module manifest; server-backed device notification delivery resources only; trusted system/admin device register unregister split; exact device/notification operation selectors; kind-selector-bounded generic resource selectors; provider-safe projections; no live APNs or native inbox activation	focused module_registry notification delivery manifest test; focused device/notification/APNs token redaction/credential-custody authority tests; SACB; TMB; PCC/TPC; DESI; SSARR; SOL caveat verification; personal-info and no-managed-skills guards	pending_review	P3MSA-INV-008;Phase 2 Slice 13
P3MSA-INV-016	Slice 24H Import Repository And Update Module Pack	Import repository tree and update metadata can become real workflows only through module contracts	module_pack	authority	import_update_module	Generic import/update activity first	active_runtime	Import execution proposal repository tree action update diagnostic action contracts approval rollback policy	Which workflow is valuable; what raw payloads are needed; what rollback exists; is native UI justified	Production deploy update commands raw tree dumps installer restart commands fixed panels	Approval; rollback; bounded payload custody; no deploy; generic UI first	focused import/repository/update tests; DISD; SACB; README if touched	planned	P3MSA-INV-006;Phase 2 Slice 14E
P3MSA-INV-017	Fixed Old iOS Product Panels	User-visible app surfaces are workflow-specific and contract-backed not old panels	reject_candidate	observability	none	Generic cockpit first	inspect_only	Record rejection of fixed old process source subagent approval notification skill memory work panels	Has a stable module contract proven generic insufficiency; does native UI own server truth; are tests/device proof ready	Direct resurrection of old fixed panels	Source guards and product decision required before any fixed native surface	iOS source guards; IOSTC/IOSAC/IARM as touched	rejected_shape	Phase 2 P2AER-INV-032
P3MSA-INV-018	Broad Product DTO Resurrection	Event protocol and iOS DTO breadth expand only for accepted module resources and stable workflows	reject_candidate	storage	none	Thin client DTOs only when needed	inspect_only	Record rejection of old broad DTO return unless selected by module surface	Which event/resource is stable; does generic rendering suffice; is compatibility covered	Old product DTO tables fixed panels public protocol sprawl	DTO additions tied to accepted module resource; old payload compatibility; protocol tests	PPACD; event catalog tests; iOS protocol tests if touched	rejected_shape	Phase 2 Slice 19A
P3MSA-INV-019	Speculative Dependency Restoration	Removed dependencies return only through approved module dependency requests	reject_candidate	authority	none	Dependency review facts	installable	Record rejection of dependency restoration without module owner and review	Which module owns it; why needed; what risk; what tests; what removal path	Portable PTY interpreters embeddings browser automation APNs signing rendering packages without owner	Dependency guard denies reappearance without approved module rationale	PCC/TPC dependency guard; cargo check; DESI	rejected_shape	Phase 2 Slice 22A
P3MSA-INV-020	Repo-Managed Skills And Bootstrap Behavior	Procedural behavior is agent-authored module state not core repo-managed skills	reject_candidate	none	procedural_module	Procedural audit only	learned_behavior	Record rejection of packages/agent/skills and bootstrap skill-copy wiring	Where does learned behavior live; how is it validated; how is it disabled	Repo-managed first-party skills hidden prompt context bootstrap copy wiring	No packages/agent/skills; procedural module validation before activation	test ! -e packages/agent/skills; SSARR; procedural tests	rejected_shape	Phase 2 Slice 11A
