id	path	surface_kind	owner	closure_action	essentiality	proof	regression_gate	scorecard_rows
PMC-INV-001	7b03b51f5476f5764e3813666137897af2f3cd3d	baseline_commit	branch-owner	baseline	SSARR HEAD lineage anchor for PMC	git merge-base --is-ancestor 7b03b51f5476f5764e3813666137897af2f3cd3d HEAD	primitive_minimality_closure_invariants	PMC-0
PMC-INV-002	packages/agent/src/domains/model/providers/anthropic/types/mod.rs	anthropic_request_helpers	anthropic-types-owner	removed	Unused test-only request helper constructors; production conversion builds blocks directly	Source absence plus focused Anthropic provider tests	cargo test --manifest-path packages/agent/Cargo.toml domains::model::providers::anthropic --lib -- --quiet	PMC-1,PMC-8
PMC-INV-003	packages/agent/src/domains/model/providers/anthropic/types/tests.rs	anthropic_helper_tests	anthropic-types-test-owner	removed	Tests only covered deleted helper constructors rather than live request behavior	Focused Anthropic provider tests still pass	cargo test --manifest-path packages/agent/Cargo.toml domains::model::providers::anthropic --lib -- --quiet	PMC-1,PMC-8
PMC-INV-004	packages/agent/src/domains/model/providers/anthropic/message_converter/mod.rs	anthropic_converter_facade	anthropic-converter-owner	collapsed	Unused full-context facade duplicated provider request assembly	Provider build_request plus convert_messages remain live	cargo check --manifest-path packages/agent/Cargo.toml	PMC-2,PMC-8
PMC-INV-005	packages/agent/src/domains/model/providers/anthropic/message_converter/tests.rs	anthropic_converter_tests	anthropic-converter-test-owner	removed	Tests only covered deleted facade and duplicate tool conversion	Focused Anthropic converter/provider tests still pass	cargo test --manifest-path packages/agent/Cargo.toml domains::model::providers::anthropic --lib -- --quiet	PMC-2,PMC-8
PMC-INV-006	packages/agent/src/domains/model/providers/anthropic/provider/mod.rs	anthropic_tool_owner	anthropic-provider-owner	retained_contract	Canonical Anthropic tool-definition request path with last-tool cache control	PMC invariant checks build_tools and cache-control ownership	cargo check --manifest-path packages/agent/Cargo.toml	PMC-2,PMC-5
PMC-INV-007	packages/agent/src/domains/model/providers/google/stream_handler.rs	google_stream_state	google-provider-owner	removed	Unused completed-tool ID set and test-only done synthesizer had no production caller	Focused Google stream-handler tests still pass	cargo test --manifest-path packages/agent/Cargo.toml domains::model::providers::google::stream_handler --lib -- --quiet	PMC-3,PMC-8
PMC-INV-008	packages/agent/src/domains/model/providers/shared/sse.rs	shared_sse_parse_helper	shared-provider-owner	removed	Unused parse wrapper duplicated stream-pipeline JSON parsing	Source absence plus shared SSE tests	cargo test --manifest-path packages/agent/Cargo.toml domains::model::providers::shared::sse --lib -- --quiet	PMC-4,PMC-8
PMC-INV-009	packages/agent/src/domains/model/providers/shared/stream_pipeline.rs	shared_stream_pipeline	shared-provider-owner	retained_contract	Canonical SSE line-to-event deserialization owner after helper removal	Source check for serde_json::from_str after parse_sse_lines	cargo check --manifest-path packages/agent/Cargo.toml	PMC-4,PMC-5
PMC-INV-010	packages/agent/src/domains/model/providers/anthropic/types/mod.rs	provider_config_contract	anthropic-provider-owner	retained_contract	Config/settings fields are serde/profile/auth contract surfaces	Provider config compiles and broad CI exercises settings/profile guards	scripts/tron ci fmt check clippy test	PMC-5,PMC-9
PMC-INV-011	packages/agent/src/domains/model/providers/google/types/models.rs	provider_catalog_contract	google-provider-owner	retained_contract	Catalog support metadata is provider/model contract, not dead helper scaffolding	PMBD predecessor invariants retain provider/model boundary proof	scripts/tron ci fmt check clippy test	PMC-5,PMC-9
PMC-INV-012	packages/agent/src/domains/model/providers/openai/types/models/mod.rs	provider_catalog_contract	openai-provider-owner	retained_contract	Model ID and display metadata feed catalog/API semantics beyond narrow cargo-check reads	PMBD predecessor invariants retain provider/model boundary proof	scripts/tron ci fmt check clippy test	PMC-5,PMC-9
PMC-INV-013	packages/agent/src/engine/authority/leases.rs	engine_audit_query	engine-authority-owner	retained_contract	Trace query helpers preserve authority/audit inspection substrate	ODA/SOL/DSEMD guards cover auditability and state ownership	scripts/tron ci fmt check clippy test	PMC-5,PMC-9
PMC-INV-014	packages/agent/src/engine/durability/queue/sqlite_store.rs	engine_queue_query	engine-queue-owner	retained_contract	Durable trace query helper supports queue audit/replay inspection	ODA/DSEMD/CSD guards cover durable queue evidence	scripts/tron ci fmt check clippy test	PMC-5,PMC-9
PMC-INV-015	packages/agent/src/engine/durability/streams/sqlite_store.rs	engine_stream_query	engine-stream-owner	retained_contract	Durable stream trace query helper supports audit/replay inspection	ODA/DSEMD/DRC guards cover stream evidence	scripts/tron ci fmt check clippy test	PMC-5,PMC-9
PMC-INV-016	packages/agent/src/engine/durability/resources/store/mod.rs	engine_resource_query	engine-resource-owner	retained_contract	Resource type query helper preserves typed resource inspection substrate	SOL/DSEMD/ODA guards cover resource lifecycle evidence	scripts/tron ci fmt check clippy test	PMC-5,PMC-9
PMC-INV-017	packages/agent/docs/primitive-minimality-closure-scorecard.md	scorecard	pmc-docs-owner	static_gate	Closed 100-point minimality closure scorecard	DESI and PMC parse scorecard arithmetic	primitive_minimality_closure_invariants	PMC-6,PMC-9
PMC-INV-018	packages/agent/docs/primitive-minimality-closure-evidence-manifest.md	evidence_manifest	pmc-docs-owner	static_gate	Command evidence, failed attempts, retained-surface rationale, and final closeout proof	PMC checks command ledger and placeholder absence	primitive_minimality_closure_invariants	PMC-6,PMC-9
PMC-INV-019	packages/agent/docs/primitive-minimality-closure-inventory.md	inventory	pmc-docs-owner	static_gate	Human-readable classification of removed and retained minimality surfaces	PMC checks controlled vocabulary and required sections	primitive_minimality_closure_invariants	PMC-6,PMC-9
PMC-INV-020	packages/agent/docs/primitive-minimality-closure-inventory.tsv	inventory	pmc-docs-owner	static_gate	Machine-readable minimality inventory with removed/retained/static-gate rows	PMC parses schema rows and coverage	primitive_minimality_closure_invariants	PMC-6,PMC-9
PMC-INV-021	packages/agent/tests/primitive_minimality_closure_invariants.rs	invariant_test	pmc-test-owner	static_gate	Static and source-backed guard over artifacts, deleted helpers, retained contracts, README, and CI parity	cargo test --test primitive_minimality_closure_invariants	primitive_minimality_closure_invariants	PMC-6,PMC-8,PMC-9
PMC-INV-022	scripts/tron.d/quality.sh	local_gate	quality-owner	static_gate	Local closeout target set includes PMC in parity order	PMC parses local target array	primitive_minimality_closure_invariants	PMC-6,PMC-9
PMC-INV-023	.github/workflows/ci.yml	github_gate	ci-owner	static_gate	GitHub rust-static-gates includes PMC in the same order as local CI	PMC parses GitHub target block	primitive_minimality_closure_invariants	PMC-6,PMC-9
PMC-INV-024	README.md	root_doc	root-docs-owner	static_gate	Canonical living-doc and testing map includes PMC artifacts and target	PMC checks README paths and target name	primitive_minimality_closure_invariants	PMC-7,PMC-9
PMC-INV-025	packages/agent/docs/self-sufficient-agent-runtime-readiness-scorecard.md	historical_evidence	ssarr-docs-owner	historical_evidence	SSARR remains predecessor evidence and baseline context, not a current runtime feature implementation	PMC classifies predecessor scorecards instead of deleting provenance	primitive_minimality_closure_invariants	PMC-0,PMC-6
