id	path	surface_kind	owner	boundary_direction	public_status	provider_specificity	auth_secret_risk	canonical_contract	proof_target	action	rationale
PMBD-INV-001	packages/agent/src/domains/model/mod.rs	boundary_root	model-domain-owner	internal model domain	canonical	none	none	model domain module docs	PMBD invariant	retain	model domain states provider-native stream/tool details are isolated below provider/protocol/responder boundaries
PMBD-INV-002	packages/agent/src/domains/model/providers/mod.rs	boundary_root	model-provider-owner	provider internals to model	canonical	provider families	low	Provider trait and protocol helper exports	PMBD invariant	retain	root provider docs define provider module isolation and fail-closed argument parsing
PMBD-INV-003	packages/agent/src/domains/model/providers/shared/provider.rs	provider_trait_error_options	model-provider-owner	provider to responder	canonical	all providers	medium	Provider trait, ProviderError, ProviderStreamOptions	provider unit tests	retain	shared provider trait and canonical provider error mapping are the black-box contract
PMBD-INV-004	packages/agent/src/domains/model/providers/factory/mod.rs	auth_custody	model-provider-owner	auth store to provider	canonical	all providers	high	DefaultProviderFactory	factory and auth tests	retain	factory reloads auth and creates provider instances with ephemeral credential copies
PMBD-INV-005	packages/agent/src/domains/model/responder/mod.rs	model_responder_boundary	model-domain-owner	agent runtime to provider	canonical	all providers	medium	ModelResponder, ModelResponseError, ModelProviderRequestAudit	responder unit tests	retain	only non-provider surface that opens streams, applies retry, maps errors, and builds provider audits
PMBD-INV-006	packages/agent/src/domains/model/protocol/capability_parsing.rs	protocol_helper	model-protocol-owner	provider stream to canonical capability	canonical	all providers	none	parse_capability_call_arguments	protocol unit tests	retain	fail-closed parsing rejects malformed and non-object capability arguments
PMBD-INV-007	packages/agent/src/domains/model/protocol/id_remapping.rs	protocol_helper	model-protocol-owner	canonical capability to provider request	canonical	OpenAI/Anthropic-like IDs	none	remap_invocation_id	protocol unit tests	retain	provider-specific invocation IDs are remapped at prompt serialization boundaries
PMBD-INV-008	packages/agent/src/domains/model/providers/shared/retry.rs	retry_boundary	model-provider-owner	responder to provider stream	canonical	all providers	medium	with_provider_retry	retry unit tests	retain	provider-neutral retry is bounded, cancellable, retry-after aware, and redacts retry event messages
PMBD-INV-009	packages/agent/src/domains/model/providers/shared/sse.rs	stream_parser	model-provider-owner	http response to provider handler	internal	all SSE providers	medium	SSE parser provider result	provider tests	retain	SSE parsing stays provider-side before canonical StreamEvent conversion
PMBD-INV-010	packages/agent/src/domains/model/providers/shared/error_parsing.rs	error_parser	model-provider-owner	provider HTTP response to ProviderError	internal	all HTTP providers	medium	ProviderError shared parsing	provider tests	retain	provider-native API failures are parsed before canonical failure mapping
PMBD-INV-011	packages/agent/src/domains/model/providers/shared/stream_common/mod.rs	stream_normalization	model-provider-owner	provider stream to StreamEvent	canonical	all providers	none	StreamAccumulator	provider stream tests	retain	shared text/thinking accumulator emits canonical stream events; PERF moved the module to directory layout without changing ownership
PMBD-INV-012	packages/agent/src/domains/model/providers/shared/stream_pipeline.rs	stream_normalization	model-provider-owner	provider stream to responder	canonical	all providers	medium	wrap_provider_stream	provider tests	retain	shared pipeline maps provider stream results without exposing provider-native chunks
PMBD-INV-013	packages/agent/src/domains/model/providers/openai/provider/mod.rs	provider_family	openai-provider-owner	provider request/response	internal	OpenAI	high	Provider impl plus audit_payload	openai provider tests	retain	OpenAI headers, endpoint selection, request body, stream opening, and exact audit envelope stay provider-owned
PMBD-INV-014	packages/agent/src/domains/model/providers/openai/message_converter/mod.rs	request_builder	openai-provider-owner	canonical context to OpenAI request	internal	OpenAI	none	Responses input conversion	openai converter tests	retain	Responses wire DTOs and execute instruction shaping stay inside OpenAI provider
PMBD-INV-015	packages/agent/src/domains/model/providers/openai/stream_handler/mod.rs	stream_handler	openai-provider-owner	OpenAI SSE to StreamEvent	canonical	OpenAI	none	StreamEvent	openai stream tests	retain	OpenAI function-call deltas accumulate and malformed arguments fail closed
PMBD-INV-016	packages/agent/src/domains/model/providers/openai/types/	provider_wire_types	openai-provider-owner	provider internals	internal	OpenAI	medium	OpenAIConfig/OpenAIAuth/model profiles	openai type tests	retain	OpenAI auth-path profiles and Responses DTOs remain provider-owned
PMBD-INV-017	packages/agent/src/domains/model/providers/anthropic/provider/mod.rs	provider_family	anthropic-provider-owner	provider request/response	internal	Anthropic	high	Provider impl plus audit_payload	anthropic provider tests	retain	Anthropic headers, cache pruning, request body, stream opening, and exact audit envelope stay provider-owned
PMBD-INV-018	packages/agent/src/domains/model/providers/anthropic/message_converter/mod.rs	request_builder	anthropic-provider-owner	canonical context to Anthropic request	internal	Anthropic	none	Messages API conversion	anthropic converter tests	retain	Anthropic tool_use/tool_result blocks and cache controls stay provider-owned
PMBD-INV-019	packages/agent/src/domains/model/providers/anthropic/stream_handler/mod.rs	stream_handler	anthropic-provider-owner	Anthropic SSE to StreamEvent	canonical	Anthropic	none	StreamEvent	anthropic stream tests	retain	Anthropic content blocks normalize before reaching agent history
PMBD-INV-020	packages/agent/src/domains/model/providers/anthropic/types/	provider_wire_types	anthropic-provider-owner	provider internals	internal	Anthropic	medium	AnthropicConfig/AnthropicAuth/catalog	anthropic type tests	retain	Anthropic auth and model catalog metadata stay provider-owned
PMBD-INV-021	packages/agent/src/domains/model/providers/google/provider/mod.rs	provider_family	google-provider-owner	provider request/response	internal	Google	high	Provider impl plus audit_payload	google provider tests	retain	Google auth, generation config, request body, stream opening, and exact audit envelope stay provider-owned
PMBD-INV-022	packages/agent/src/domains/model/providers/google/message_converter.rs	request_builder	google-provider-owner	canonical context to Gemini request	internal	Google	none	Gemini contents/tools conversion	google converter tests	retain	Gemini schema sanitization and request shape stay provider-owned
PMBD-INV-023	packages/agent/src/domains/model/providers/google/stream_handler.rs	stream_handler	google-provider-owner	Gemini SSE to StreamEvent	canonical	Google	none	StreamEvent	google stream tests	retain	Gemini function-call parts parse object args and fail closed on non-object payloads
PMBD-INV-024	packages/agent/src/domains/model/providers/google/types/	provider_wire_types	google-provider-owner	provider internals	internal	Google	medium	GoogleConfig/GoogleAuth/model catalog	google type tests	retain	Google auth and model metadata stay provider-owned
PMBD-INV-025	packages/agent/src/domains/model/providers/kimi/provider.rs	provider_family	kimi-provider-owner	provider request/response	internal	Kimi	high	Provider impl plus audit_payload	kimi provider tests	retain	Kimi Bearer auth, request body, stream opening, and exact audit envelope stay provider-owned
PMBD-INV-026	packages/agent/src/domains/model/providers/kimi/message_converter.rs	request_builder	kimi-provider-owner	canonical context to Kimi request	internal	Kimi	none	chat completions conversion	kimi tests	retain	Kimi OpenAI-compatible request conversion stays provider-owned
PMBD-INV-027	packages/agent/src/domains/model/providers/kimi/stream_handler/mod.rs	stream_handler	kimi-provider-owner	Kimi chunks to StreamEvent	canonical	Kimi	none	StreamEvent	kimi stream tests	retain	Kimi streamed tool-call argument accumulation fails closed on malformed JSON
PMBD-INV-028	packages/agent/src/domains/model/providers/kimi/types.rs	provider_wire_types	kimi-provider-owner	provider internals	internal	Kimi	medium	KimiConfig/KimiAuth	kimi tests	retain	Kimi wire DTOs and auth shape stay provider-owned
PMBD-INV-029	packages/agent/src/domains/model/providers/minimax/provider.rs	provider_family	minimax-provider-owner	provider request/response	internal	MiniMax	high	Provider impl plus audit_payload	minimax provider tests	retain	MiniMax Anthropic-compatible request/stream handling stays behind MiniMax provider module
PMBD-INV-030	packages/agent/src/domains/model/providers/minimax/types.rs	provider_wire_types	minimax-provider-owner	provider internals	internal	MiniMax	medium	MiniMaxConfig/MiniMaxAuth	minimax tests	retain	MiniMax auth and model metadata stay provider-owned
PMBD-INV-031	packages/agent/src/domains/model/providers/ollama/provider.rs	provider_family	ollama-provider-owner	local provider request/response	internal	Ollama	none	Provider impl plus audit_payload	ollama provider tests	retain	Ollama native local API request body, stream opening, and exact audit envelope stay provider-owned
PMBD-INV-032	packages/agent/src/domains/model/providers/ollama/message_converter/mod.rs	request_builder	ollama-provider-owner	canonical context to Ollama request	internal	Ollama	none	Ollama native chat conversion	ollama converter tests	retain	Ollama native tool-call arguments serialize as JSON objects
PMBD-INV-033	packages/agent/src/domains/model/providers/ollama/stream_handler/mod.rs	stream_handler	ollama-provider-owner	Ollama NDJSON to StreamEvent	canonical	Ollama	none	StreamEvent	ollama stream tests	retain	Ollama local stream chunks normalize to canonical text/thinking/tool/done events
PMBD-INV-034	packages/agent/src/domains/model/providers/ollama/types.rs	provider_wire_types	ollama-provider-owner	provider internals	internal	Ollama	none	OllamaConfig/catalog	ollama tests	retain	Ollama model availability and native API config stay provider-owned
PMBD-INV-035	packages/agent/src/domains/model/routing/models/registry.rs	token_catalog	model-routing-owner	model string to provider/catalog	canonical	all providers	none	detect_provider_from_model, strip_provider_prefix, capabilities	routing tests	retain	model ownership is registry-backed and unknown strings fail fast
PMBD-INV-036	packages/agent/src/domains/model/routing/catalog.rs	token_catalog	model-routing-owner	model domain to public catalog	canonical	all providers	none	model.list catalog	routing tests	retain	public model catalog reads provider registries without exposing provider wire structs
PMBD-INV-037	packages/agent/src/domains/model/routing/operations.rs	token_catalog	model-routing-owner	settings/session to model switch	canonical	all providers	none	model operations	routing tests	retain	model switching uses registry support checks instead of arbitrary provider inference
PMBD-INV-038	packages/agent/src/domains/model/tokens/normalization.rs	token_catalog	model-token-owner	provider usage to token record	canonical	all providers	none	TokenRecord normalization	token tests	retain	provider-specific usage semantics normalize into server-owned token records
PMBD-INV-039	packages/agent/src/domains/model/tokens/pricing.rs	token_catalog	model-token-owner	token usage to cost	canonical	all providers	none	PricingRecord	token tests	retain	pricing uses explicit model/provider tables and unavailable state instead of defaults
PMBD-INV-040	packages/agent/src/domains/auth/credentials/mod.rs	auth_custody	auth-domain-owner	auth.json to factory	canonical	all remote providers	high	resolve_credential	auth tests	retain	account selection order and active credential override stay in auth custody
PMBD-INV-041	packages/agent/src/domains/auth/credentials/openai/mod.rs	auth_custody	auth-domain-owner	auth.json to OpenAI factory	canonical	OpenAI	high	load_server_auth, infer_auth_path	openai auth tests	retain	OpenAI auth path selection and refresh stay in credential module
PMBD-INV-042	packages/agent/src/domains/auth/credentials/anthropic.rs	auth_custody	auth-domain-owner	auth.json to Anthropic factory	canonical	Anthropic	high	load_server_auth	anthropic auth tests	retain	Anthropic OAuth/API key resolution stays in credential module
PMBD-INV-043	packages/agent/src/domains/auth/credentials/google.rs	auth_custody	auth-domain-owner	auth.json to Google factory	canonical	Google	high	load_server_auth	google auth tests	retain	Google OAuth/API key resolution and project metadata stay in credential module
PMBD-INV-044	packages/agent/src/domains/session/event_store/redaction.rs	redaction_boundary	session-store-owner	event payload to storage	canonical	all providers	high	redact_sensitive_content	event-store tests	retain	session event storage reuses shared redaction before durable writes
PMBD-INV-045	packages/agent/src/shared/foundation/redaction.rs	redaction_boundary	shared-foundation-owner	provider/session strings to public/storage	canonical	all providers	high	redact_sensitive_content	shared unit tests	add	shared redactor prevents provider/model code depending on session domain
PMBD-INV-046	packages/agent/src/shared/protocol/model_audit.rs	audit_replay	shared-protocol-owner	model responder to event store/replay	canonical	all providers	high	ModelProviderRequestAudit, ProviderAuditPayload	model audit tests	retain	versioned audit DTO redacts and bounds provider request bodies
PMBD-INV-047	packages/agent/src/domains/session/event_store/store/event_store/event_log.rs	audit_replay	session-store-owner	runtime events to durable log	canonical	all providers	high	append_event_in_tx_with_identity	event-store tests	retain	event append recursively redacts string payloads as defense in depth
PMBD-INV-048	packages/agent/src/domains/agent/loop/turn_runner/mod.rs	audit_replay	agent-runtime-owner	responder audit to provider stream	canonical	all providers	medium	ModelResponder::request_audit before respond	runtime tests	retain	turn runner persists provider request audit before provider stream opens
PMBD-INV-049	packages/agent/src/domains/agent/loop/turn_runner/persistence/mod.rs	audit_replay	agent-runtime-owner	audit DTO to event store	canonical	all providers	medium	persist_model_provider_request_audit	runtime tests	retain	model.provider_request persistence is the replay/audit source
PMBD-INV-050	packages/agent/src/domains/session/replay/mod.rs	audit_replay	session-replay-owner	durable events to replay	canonical	all providers	none	replay manifest	replay tests	retain	replay consumes provider audit DTOs without importing provider internals
PMBD-INV-051	packages/agent/src/shared/protocol/events/stream.rs	stream_protocol	shared-protocol-owner	provider stream to runtime/iOS	canonical	all providers	none	StreamEvent	event tests	retain	canonical stream event shape is provider-neutral
PMBD-INV-052	packages/agent/src/shared/protocol/messages/mod.rs	stream_protocol	shared-protocol-owner	model context/history DTO	canonical	all providers	none	Context/Message/Provider/message capability structs	message tests	retain	provider enum and capability history are canonical protocol types
PMBD-INV-053	packages/agent/src/domains/session/event_store/types/payloads/model.rs	audit_replay	session-store-owner	durable event payload	canonical	all providers	medium	ModelProviderRequestPayload	event-store type tests	retain	model.provider_request payload type aliases protocol DTO instead of provider internals
PMBD-INV-054	packages/agent/tests/provider_model_boundary_discipline_invariants.rs	test_static_gate	pmbd-owner	static gate	canonical	all providers	none	PMBD invariant	cargo test --test provider_model_boundary_discipline_invariants	add	static guard closes source/docs/CI/inventory/provider-boundary drift
PMBD-INV-055	packages/agent/docs/provider-model-boundary-discipline-scorecard.md	docs_ci	pmbd-owner	documentation	canonical	all providers	none	PMBD scorecard	PMBD invariant	add	scorecard records weighted closure for this original hardening slice
PMBD-INV-056	packages/agent/docs/provider-model-boundary-discipline-evidence-manifest.md	docs_ci	pmbd-owner	documentation	canonical	all providers	none	PMBD evidence	PMBD invariant	add	evidence manifest records lineage, audit, commands, and residual risk
PMBD-INV-057	packages/agent/docs/provider-model-boundary-discipline-inventory.md	docs_ci	pmbd-owner	documentation	canonical	all providers	none	PMBD inventory notes	PMBD invariant	add	structured narrative inventory for provider/model boundary
PMBD-INV-058	packages/agent/docs/provider-model-boundary-discipline-inventory.tsv	docs_ci	pmbd-owner	documentation	canonical	all providers	none	PMBD machine inventory	PMBD invariant	add	machine-readable inventory used by PMBD static gates
PMBD-INV-059	README.md	docs_ci	readme-owner	documentation	canonical	all providers	none	living docs map	PMBD invariant	update	README lists PMBD artifacts/tests and documents provider/model boundary discipline
PMBD-INV-060	scripts/tron.d/quality.sh	docs_ci	ci-owner	local CI	canonical	all providers	none	closeout target list	PMBD invariant	update	local CI runs PMBD invariant
PMBD-INV-061	.github/workflows/ci.yml	docs_ci	ci-owner	GitHub CI	canonical	all providers	none	rust static gates	PMBD invariant	update	GitHub CI runs PMBD invariant
PMBD-INV-062	packages/agent/docs/performance-resource-governance-scorecard.md	docs_ci	perf-owner	next original slice	canonical	all providers	none	PERF scorecard	PERF invariant	retain	Performance / Resource Governance follows PMBD on current original lineage
PMBD-INV-063	packages/agent/docs/configuration-profile-environment-discipline-inventory.tsv	docs_ci	cpe-owner	configuration/profile settings boundary	canonical	all providers	none	CPE inventory	CPE invariant	retain	Configuration / Profile / Environment Discipline follows PERF and keeps provider/model defaults environment-owned
PMBD-INV-064	packages/agent/docs/release-install-upgrade-rollback-discipline-inventory.tsv	docs_ci	riurd-owner	release/install packaging boundary	canonical	all providers	none	RIURD inventory	RIURD invariant	retain	Release / Install / Upgrade / Rollback Discipline keeps provider/model defaults and auth custody out of packaging side effects
PMBD-INV-065	packages/agent/docs/self-sufficient-agent-runtime-readiness-scorecard.md	docs_ci	ssarr-owner	readiness audit boundary	canonical	all providers	none	SSARR scorecard	SSARR invariant	retain	SSARR keeps future tool synthesis out of provider/model implementation
PMBD-INV-066	packages/agent/docs/self-sufficient-agent-runtime-readiness-evidence-manifest.md	docs_ci	ssarr-owner	readiness evidence boundary	canonical	all providers	none	SSARR evidence	SSARR invariant	retain	SSARR evidence records provider boundary audit without provider behavior changes
PMBD-INV-067	packages/agent/docs/self-sufficient-agent-runtime-readiness-inventory.md	docs_ci	ssarr-owner	readiness inventory boundary	canonical	all providers	none	SSARR inventory	SSARR invariant	retain	SSARR inventory maps model/provider boundary as tool-synthesis prerequisite
PMBD-INV-068	packages/agent/docs/self-sufficient-agent-runtime-readiness-inventory.tsv	docs_ci	ssarr-owner	readiness machine inventory boundary	canonical	all providers	none	SSARR TSV	SSARR invariant	retain	SSARR TSV records provider-neutral tool-synthesis readiness only
PMBD-INV-069	packages/agent/tests/self_sufficient_agent_runtime_readiness_invariants.rs	docs_ci	ssarr-owner	readiness static gate boundary	canonical	all providers	none	SSARR invariant	GitHub rust-static-gates	retain	SSARR invariant rejects provider-visible execute widening and synthesis runtime claims
PMBD-INV-070	packages/agent/docs/primitive-minimality-closure-scorecard.md	docs_ci	pmc-owner	minimality audit boundary	canonical	all providers	none	PMC scorecard	PMC invariant	retain	PMC keeps provider deletions source-backed and records retained catalog/config contracts
PMBD-INV-071	packages/agent/docs/primitive-minimality-closure-evidence-manifest.md	docs_ci	pmc-owner	minimality evidence boundary	canonical	all providers	none	PMC evidence	PMC invariant	retain	PMC evidence records provider helper removal without provider behavior expansion
PMBD-INV-072	packages/agent/docs/primitive-minimality-closure-inventory.md	docs_ci	pmc-owner	minimality inventory boundary	canonical	all providers	none	PMC inventory	PMC invariant	retain	PMC inventory maps removed Anthropic and Google provider residue
PMBD-INV-073	packages/agent/docs/primitive-minimality-closure-inventory.tsv	docs_ci	pmc-owner	minimality machine inventory boundary	canonical	all providers	none	PMC TSV	PMC invariant	retain	PMC TSV records provider-neutral retained contracts
PMBD-INV-074	packages/agent/tests/primitive_minimality_closure_invariants.rs	docs_ci	pmc-owner	minimality static gate boundary	canonical	all providers	none	PMC invariant	GitHub rust-static-gates	retain	PMC invariant rejects provider helper resurrection and protocol/settings expansion
