id	path	surface_kind	owner	readiness_dimension	current_extension_point	future_scope	implementation_state	risk_or_blocker	proof	evidence_policy	scorecard_rows
SSARR-INV-001	packages/agent/src/engine/mod.rs	engine_fabric	engine-owner	generated_workers	EngineHost EngineHostHandle trigger runtime external worker queue resource state stream grant and ledger facade	Future generated workers could enter through explicit host/worker/trigger/queue contracts	ready_extension_point	No generated-worker lifecycle authoring schedule activation or launch policy exists	Engine module docs list retained substrate and invariants	Source docs plus engine tests are current truth	SSARR-1,SSARR-2,SSARR-6
SSARR-INV-002	packages/agent/src/engine/runtime/external_workers/mod.rs	external_worker_runtime	engine-runtime-owner	generated_workers	Loopback external-worker registration invocation proxy health lifecycle and worker token validation	Future generated helpers could become workers only after host-approved lifecycle design	ready_extension_point	Missing authoring approval launch rollback and activation policy	External worker docs require loopback tokens scope bindings and fail-closed health	Runtime tests remain substrate proof	SSARR-1,SSARR-2,SSARR-8
SSARR-INV-003	packages/agent/src/engine/durability/queue/mod.rs	queue_substrate	engine-queue-owner	generated_workers	Durable queue receipts attempts leases retry dead-letter cancellation and payload bounds	Future worker scheduling could use queue handoff after policy design	ready_extension_point	No worker schedule scanner or activation loop is implemented	Queue docs and CSD/PERF guards cover bounds lifecycle and auditability	Queue proof is inherited from CSD PERF and engine tests	SSARR-1,SSARR-2,SSARR-6
SSARR-INV-004	packages/agent/src/engine/runtime/mod.rs	trigger_runtime	engine-runtime-owner	runtime_orchestration_auditability	Trigger dispatch external workers and worker protocol DTO ownership	Future autonomous orchestration could dispatch through trigger runtime with explicit budgets	ready_extension_point	Future autonomy needs shutdown retry escalation and policy semantics	Runtime docs define trigger cascade budgets and external worker ownership	Cross-link CSD ODA SACB PERF evidence	SSARR-1,SSARR-2,SSARR-6
SSARR-INV-005	packages/agent/src/domains/agent/mod.rs	primitive_loop	agent-domain-owner	runtime_orchestration_auditability	Prompt apply run-turn provider loop and single execute primitive handoff	Future runtime policy can attach around the loop without adding hidden context planes	ready_extension_point	No autonomous planner scheduler or generated worker execution policy is accepted	Agent module docs define prompt execution flow and model-facing execute handoff	Agent loop remains current primitive behavior	SSARR-1,SSARR-6
SSARR-INV-006	packages/agent/src/domains/capability/contract.rs	model_facing_contract	capability-domain-owner	tool_synthesis	Exactly one provider-visible execute primitive with direct operation schema	Future tool synthesis must not widen execute without separate scorecard and provider contract	ready_extension_point	Synthesized tools need catalog lifecycle schema idempotency authority and provider portability	Contract tests enforce one execute capability and no target/function fields	Provider-visible surface is guarded by capability tests	SSARR-1,SSARR-4,SSARR-8
SSARR-INV-007	packages/agent/src/domains/capability/mod.rs	model_facing_worker	capability-domain-owner	learned_rules_memory	Execute can touch agent-owned state and host operations under derived grants	Future learned behavior can be data in state/resources not checked-in target functions	ready_extension_point	No learned rule runtime or memory store exists	Module invariant says later behavior can appear as agent-owned state or generated helper substrate	Source doc is readiness wording not implementation proof	SSARR-1,SSARR-3,SSARR-8
SSARR-INV-008	packages/agent/src/domains/capability/operations/state.rs	state_operations	capability-domain-owner	learned_rules_memory	state_get state_set and state_list for agent-owned state	Future learned memory/rules can use namespaced state after schema and retention policy	ready_extension_point	Missing migration retention privacy trust and compaction policy for learned behavior	Primitive state operation code is current implementation	State operations are substrate only	SSARR-1,SSARR-3,SSARR-5
SSARR-INV-009	packages/agent/src/domains/agent/runtime/service/context.rs	context_projection	agent-runtime-owner	learned_rules_memory	Agent-owned state context is loaded through engine state primitives	Future learned behavior can be projected into context from state after policy design	ready_extension_point	Projection is compact and untyped for future learned-memory semantics	Source reads state_list and logs failures without extra policy planes	Context projection is current primitive behavior	SSARR-1,SSARR-3,SSARR-6
SSARR-INV-010	packages/agent/src/domains/agent/context/types.rs	context_docs	agent-context-owner	learned_rules_memory	Context docs classify learned behavior instructions as agent-owned state not separate context planes	Future learned instructions must remain state/resource data with authority and migration policy	future_prerequisite	No learned-rules engine or separate memory plane is implemented	Source doc is explicit custody wording	SSARR classifies this as readiness wording	SSARR-3,SSARR-8
SSARR-INV-011	packages/agent/src/shared/protocol/messages/mod.rs	protocol_context	shared-protocol-owner	agent_authored_state	Context DTO includes compact agent-authored state projection	Future agent-authored state may flow into provider context only through this projection boundary	ready_extension_point	Projection needs future schema and redaction policy for richer learned state	Protocol comment and DTO field prove current compact projection	Current primitive context path not separate memory system	SSARR-3,SSARR-5
SSARR-INV-012	packages/agent/src/engine/durability/state.rs	state_store	engine-state-owner	agent_authored_state	Scoped state entries with namespace key value revision and timestamps	Future agent-authored state can use revisioned scoped entries with CAS/list semantics	ready_extension_point	Future ownership migration quota and cleanup policy remain open	State store implementation and SOL/CPE inventories cover ownership	State is substrate not learned-memory product	SSARR-1,SSARR-3,SSARR-5
SSARR-INV-013	packages/agent/src/engine/durability/resources/mod.rs	resource_kernel	engine-resource-owner	agent_authored_state	Typed versioned resources links lifecycle policy provenance and events	Future agent-authored artifacts tools decisions evidence and UI state can use resources	ready_extension_point	Future agent-authored state needs migration lifecycle and custody policy	Resource docs define typed durable object substrate	DSEMD SOL ODA and PERF cover storage evidence limits	SSARR-1,SSARR-5,SSARR-6
SSARR-INV-014	packages/agent/src/engine/primitives/ui/mod.rs	generic_ui_resource	engine-ui-owner	public_protocol_ios_shell	ui_surface resource lifecycle validation and generic submit_action recording	Future agent-authored runtime UI can use generic surfaces with protocol/versioning tests	ready_extension_point	No server-authored target routing or product panel policy is implemented	UI primitive docs and tests guard generic action submissions	Generic UI is substrate not successor panel	SSARR-1,SSARR-5,SSARR-7
SSARR-INV-015	packages/ios-app/Sources/UI/RuntimeSurfaces/GeneratedRuntimeSurfaceView.swift	ios_generic_renderer	ios-ui-owner	public_protocol_ios_shell	SwiftUI generic ui_surface renderer and action coordinate submission	Future agent-authored surfaces can render generically after DTO/version tests	ready_extension_point	Future Swift changes require focused iOS 26.5 simulator tests	IOSTC docs and SourceGuard tests prove no fixed product panels	No iOS source changed in SSARR	SSARR-1,SSARR-7,SSARR-8
SSARR-INV-016	packages/ios-app/docs/architecture.md	ios_architecture_docs	ios-docs-owner	public_protocol_ios_shell	iOS thin-client and generic runtime shell documentation	Future successor UI must remain generic or receive a separate scorecard	future_prerequisite	Docs can drift if Swift source changes without simulator/source guards	Architecture doc states iOS owns no canonical server truth	Readiness wording is active current docs	SSARR-7,SSARR-8
SSARR-INV-017	packages/agent/src/transport/engine/contracts.rs	public_protocol_contract	transport-owner	tool_synthesis	Public discover inspect watch invoke promote contracts with strict schemas	Future synthesized tool promotion must remain authority-gated and not client-side catalog editing	ready_extension_point	Public promote could be misread as tool synthesis unless documented	Contracts require idempotency and authority for promote	PPACD proof plus SSARR guard classify public promote	SSARR-4,SSARR-7,SSARR-8
SSARR-INV-018	packages/agent/src/transport/engine/mod.rs	public_transport_envelope	transport-owner	public_protocol_ios_shell	Transport strips public context runtime metadata and authority scopes	Future runtime surfaces must enter through engine envelopes not caller-supplied trust	ready_extension_point	Future public APIs need strict schema/versioning review	Transport tests reject runtime metadata injection and internal invoke scopes	PPACD and SACB are predecessor proof	SSARR-4,SSARR-7
SSARR-INV-019	packages/agent/src/domains/model/mod.rs	provider_boundary	model-domain-owner	tool_synthesis	Provider-native stream and function-call details normalize before canonical capability history	Future synthesized tools need provider-neutral schema and failure handling	ready_extension_point	Provider-specific assumptions could leak into synthesized tool contracts	PMBD source docs isolate provider-specific parsing and responder boundary	PMBD remains provider boundary proof	SSARR-4,SSARR-6
SSARR-INV-020	packages/agent/src/domains/session/event_store/mod.rs	session_evidence	session-domain-owner	agent_authored_state	Session event store owns events blobs logs traces reconstruction and replay	Future agent-authored state needs durable provenance through session/resource evidence	ready_extension_point	Migration retention and evidence query policy must be designed for new state	DSEMD ODA DRC and session docs cover current evidence ownership	Evidence substrate only not successor memory store	SSARR-5,SSARR-6
SSARR-INV-021	packages/agent/src/domains/settings/profile/mod.rs	profile_settings	settings-domain-owner	agent_authored_state	Profile settings are server-authoritative sparse user overrides with strict schema	Future agent-authored runtime settings need parity and profile ownership policy	future_prerequisite	No future agent-authored settings schema is defined	CPE guards settings/profile/env ownership and iOS parity	Settings remain human/server-owned in current architecture	SSARR-5,SSARR-6
SSARR-INV-022	packages/agent/skills	forbidden_repo_skill_surface	project-rules-owner	learned_rules_memory	Absent repo-managed first-party skills directory	Future skills belong to successor agent-authored state or generated runtime behavior	forbidden_successor_feature	Accidental checked-in skills would recreate bootstrap harness behavior	AGENTS.md managed skills rule and SSARR invariant require absence	Absent path is intentional negative evidence	SSARR-3,SSARR-8
SSARR-INV-023	README.md	root_doc	root-docs-owner	static_gates_docs	Canonical living-doc map testing list and architecture truth	Current docs must name SSARR and keep readiness scope truthful	static_gate	README drift can turn readiness wording into false implementation claims	README references SSARR artifacts and invariant target	README is canonical map not sole authority	SSARR-7,SSARR-9
SSARR-INV-024	AGENTS.md	project_rules	project-rules-owner	static_gates_docs	Project rules require docs tests README upkeep and forbid repo skills/deploys	Future successor work must preserve managed-skill and no-deploy rules	static_gate	Rule drift can reopen forbidden bootstrap surfaces	AGENTS.md source audit is recorded in evidence	Rule doc remains project authority for contributors	SSARR-0,SSARR-3,SSARR-8
SSARR-INV-025	scripts/tron.d/quality.sh	local_gate	quality-owner	static_gates_docs	Local closeout target list includes SSARR in parity order	Future static gates must add local and GitHub entries together	static_gate	Target-order drift would hide readiness guard locally or remotely	SSARR invariant parses local and GitHub target arrays	Local gate evidence recorded in SSARR-10	SSARR-8,SSARR-9,SSARR-10
SSARR-INV-026	.github/workflows/ci.yml	github_gate	ci-owner	static_gates_docs	GitHub rust-static-gates includes SSARR in the same order as local CI	Future CI edits must preserve parity with scripts/tron.d/quality.sh	static_gate	Path-gated CI can miss docs/static drift if target list changes incorrectly	SSARR and DESI invariants parse GitHub target order	GitHub gate mirrors local target list	SSARR-8,SSARR-9,SSARR-10
SSARR-INV-027	packages/agent/tests/self_sufficient_agent_runtime_readiness_invariants.rs	invariant_test	ssarr-test-owner	static_gates_docs	Static and source-backed SSARR guard over artifacts inventory terms negative features and parity	Future successor wording and artifacts must be classified or rejected	static_gate	Guard vocabulary needs updates for new successor terms	cargo test --test self_sufficient_agent_runtime_readiness_invariants	Focused invariant is closeout proof	SSARR-8,SSARR-9,SSARR-10
SSARR-INV-028	packages/agent/docs/self-sufficient-agent-runtime-readiness-scorecard.md	scorecard	ssarr-docs-owner	static_gates_docs	Closed 100 point readiness scorecard and scope quarantine	Future feature work must not treat this scorecard as implementation approval	static_gate	Scorecard can drift from evidence if not parsed	DESI and SSARR invariants parse weighted rows	Scorecard is active current SSARR artifact	SSARR-0,SSARR-9,SSARR-10
SSARR-INV-029	packages/agent/docs/self-sufficient-agent-runtime-readiness-evidence-manifest.md	evidence_manifest	ssarr-docs-owner	static_gates_docs	Source audit row evidence verification log failed-attempt record and residual risks	Evidence must record actual commands and no placeholders	static_gate	Evidence drift can overclaim verification	SSARR invariant checks required command strings and no placeholders	Evidence is active current closeout proof	SSARR-0,SSARR-9,SSARR-10
SSARR-INV-030	packages/agent/docs/self-sufficient-agent-runtime-readiness-inventory.md	inventory	ssarr-docs-owner	static_gates_docs	Readiness matrix controlled vocabulary source findings and evidence policy	Inventory must distinguish substrate from future successor capability	static_gate	Inventory drift can misclassify historical evidence as current implementation	SSARR invariant checks vocabulary and matrix markers	Inventory is active current classification	SSARR-1,SSARR-8,SSARR-9
SSARR-INV-031	packages/agent/docs/self-sufficient-agent-runtime-readiness-inventory.tsv	inventory	ssarr-docs-owner	static_gates_docs	Machine-readable readiness inventory with controlled dimensions and implementation states	Every SSARR row and active successor-term class must have coverage	static_gate	TSV schema drift would weaken source-backed classification	SSARR invariant parses header vocab rows and coverage	Machine inventory is active current proof	SSARR-1,SSARR-8,SSARR-9,SSARR-10
SSARR-INV-032	codex/self-sufficient-agent-runtime-readiness	stale_branch	branch-owner	historical_quarry_classification	Stale divergent branch at e62804694fa6578758d4f7e7c6cf12f334a13853	May be inspected only as quarry evidence not completion evidence	historical_evidence	Branch content can contain stale successor implementation claims	Scorecard and evidence record quarantine and invariant checks branch identity	Branch path is provenance not a tracked file	SSARR-0,SSARR-8,SSARR-9
SSARR-INV-033	packages/agent/docs/off-plan-saa-authorship-teardown-cleanup-evidence-manifest.md	historical_evidence	opsaa-docs-owner	historical_quarry_classification	Historical cleanup evidence for removed off-plan SAA/generated-worker work	Retained only as provenance for deleted stale successor feature chain	historical_evidence	Historical wording can be mistaken for current architecture	OPSAA evidence explicitly says stale branches are not completion evidence	Allowed historical evidence with classification	SSARR-0,SSARR-8
SSARR-INV-034	packages/agent/docs/off-plan-saa-authorship-teardown-cleanup-scorecard.md	historical_evidence	opsaa-docs-owner	historical_quarry_classification	Closed cleanup scorecard for removed off-plan SAA current-architecture claims	Future self-adapting-agent work remains successor/readiness scope	historical_evidence	Contains SAA terms by design	OPSAA invariant classifies and guards against resurrection	Historical cleanup scorecard retained as evidence	SSARR-0,SSARR-8
SSARR-INV-035	packages/agent/docs/primitive-engine-teardown-scorecard.md	historical_future_readiness	pet-docs-owner	historical_quarry_classification	PET future-readiness wording names self-adapting agent learned rules memory and generated workers	Retained as historical teardown readiness context not implementation proof	historical_evidence	Future wording could be read as current completion	SSARR inventory classifies PET wording and negative guards reject implementation claims	Historical scorecard remains provenance	SSARR-1,SSARR-3,SSARR-8
SSARR-INV-036	packages/agent/docs/primitive-engine-teardown-evidence-manifest.md	historical_future_readiness	pet-docs-owner	historical_quarry_classification	PET evidence records successor work as out of teardown scope	Retained as historical evidence for why SSARR is readiness only	historical_evidence	Old evidence includes future successor terms	PET evidence states successor work owns self-adapting construction learned rules memory and generated workers	Allowed historical evidence with classification	SSARR-0,SSARR-8
SSARR-INV-037	packages/agent/docs/ios-thin-client-generic-runtime-shell-inventory.md	ios_successor_guard	iostc-docs-owner	public_protocol_ios_shell	IOSTC inventory rejects self-adapting-agent UI and fixed product panels	Future successor UI must remain generic or receive separate scorecard	static_gate	Successor UI wording can look like product scope	IOSTC invariant and SSARR term guard classify this as forbidden-successor wording	Active current iOS guard docs	SSARR-7,SSARR-8
SSARR-INV-038	packages/agent/docs/provider-model-boundary-discipline-scorecard.md	provider_boundary_docs	pmbd-docs-owner	tool_synthesis	PMBD quarantines stale SAA/generated-worker chain and excludes Self-Sufficient Runtime work	Provider boundary remains current while successor work is out of scope	historical_evidence	Lineage wording could be mistaken for SSARR completion	PMBD scorecard explicitly says SSARR work is not continued there	Historical lineage classification	SSARR-0,SSARR-4,SSARR-8
SSARR-INV-039	packages/agent/docs/public-protocol-api-contract-discipline-scorecard.md	protocol_docs	ppacd-docs-owner	tool_synthesis	PPACD says public protocol hardening does not implement self-adapting behavior or generated workers	Public protocol remains narrow and versioned for future work	historical_evidence	Protocol readiness wording can overclaim implementation	PPACD scorecard scope exclusions are source evidence	Historical predecessor proof	SSARR-4,SSARR-7,SSARR-8
SSARR-INV-040	packages/agent/docs/data-integrity-storage-evolution-migration-discipline-scorecard.md	storage_docs	dsemd-docs-owner	agent_authored_state	DSEMD excludes self-adapting features generated worker execution and public launch behavior	Storage migration discipline is precondition only	historical_evidence	Storage readiness can be misread as feature support	DSEMD scorecard scope exclusion is explicit	Historical predecessor proof	SSARR-5,SSARR-6,SSARR-8
SSARR-INV-041	packages/agent/docs/release-install-upgrade-rollback-discipline-scorecard.md	release_docs	riurd-docs-owner	historical_quarry_classification	RIURD quarantines later-looking self-sufficient runtime branches as non-evidence	Release/install work remains manual-only and not successor feature work	historical_evidence	Branch wording can be mistaken for completion	RIURD scorecard stale branch note is explicit	Historical predecessor proof	SSARR-0,SSARR-8
SSARR-INV-042	packages/agent/docs/primitive-minimality-closure-scorecard.md	scorecard	pmc-docs-owner	static_gates_docs	Closed minimality closure scorecard after SSARR	Future feature work must not treat PMC as successor implementation approval	static_gate	Scorecard can drift from evidence if not parsed	PMC invariant checks weighted rows	Scorecard is active current PMC artifact	SSARR-0,SSARR-8,SSARR-9
SSARR-INV-043	packages/agent/docs/primitive-minimality-closure-evidence-manifest.md	evidence_manifest	pmc-docs-owner	static_gates_docs	Source audit removal batches failed-attempt record and residual risks	Evidence must record actual commands and no placeholders	static_gate	Evidence drift can overclaim verification	PMC invariant checks required command strings and no placeholders	Evidence is active current closeout proof	SSARR-0,SSARR-8,SSARR-9
SSARR-INV-044	packages/agent/docs/primitive-minimality-closure-inventory.md	inventory	pmc-docs-owner	static_gates_docs	Minimality closure controlled vocabulary and retained-contract notes	Inventory must distinguish removed helper residue from retained contracts	static_gate	Inventory drift can misclassify historical evidence as current behavior	PMC invariant checks vocabulary and matrix markers	Inventory is active current classification	SSARR-1,SSARR-8,SSARR-9
SSARR-INV-045	packages/agent/docs/primitive-minimality-closure-inventory.tsv	inventory	pmc-docs-owner	static_gates_docs	Machine-readable PMC inventory with removed retained and static-gate rows	Every PMC row and retained contract class must have coverage	static_gate	TSV schema drift would weaken source-backed classification	PMC invariant parses header vocab rows and coverage	Machine inventory is active current proof	SSARR-1,SSARR-8,SSARR-9
SSARR-INV-046	packages/agent/tests/primitive_minimality_closure_invariants.rs	invariant_test	pmc-test-owner	static_gates_docs	Static and source-backed PMC guard over artifacts deleted helpers retained contracts and parity	Future minimality wording and artifacts must be classified or rejected	static_gate	Guard vocabulary needs updates for new closure terms	cargo test --test primitive_minimality_closure_invariants	Focused invariant is closeout proof	SSARR-8,SSARR-9,SSARR-10
