id	record_type	path_or_surface	owner	classification	current_state	proof	regression_gate	scorecard_rows
SUWRF-ARTIFACT-01	artifact	packages/agent/docs/self-updating-worker-runtime-foundation-scorecard.md	worker_lifecycle	active_current	Scorecard is complete at 100/100	Scorecard rows SUWRF-0..10 sum to 100	self_updating_worker_runtime_foundation_invariants	SUWRF-0,SUWRF-10
SUWRF-ARTIFACT-02	artifact	packages/agent/docs/self-updating-worker-runtime-foundation-evidence-manifest.md	worker_lifecycle	active_current	Evidence manifest records focused tests and closeout commands	Command list includes focused lifecycle tests and final gates	self_updating_worker_runtime_foundation_invariants	SUWRF-10
SUWRF-ARTIFACT-03	artifact	packages/agent/docs/self-updating-worker-runtime-foundation-inventory.md	worker_lifecycle	active_current	Human-readable inventory explains lifecycle contract and boundaries	README links inventory	self_updating_worker_runtime_foundation_invariants	SUWRF-6,SUWRF-10
SUWRF-ARTIFACT-04	artifact	packages/agent/docs/self-updating-worker-runtime-foundation-inventory.tsv	worker_lifecycle	active_current	Machine-readable inventory covers artifacts, sources, resources, boundaries, validation	Invariant parses expected rows	self_updating_worker_runtime_foundation_invariants	SUWRF-6,SUWRF-9
SUWRF-SOURCE-01	source	packages/agent/src/domains/worker_lifecycle/mod.rs	worker_lifecycle	active_current	Domain root wires package proposal install enable disable launch stop retire and conformance through split implementation modules	Focused worker_lifecycle unit tests	worker_lifecycle tests	SUWRF-1,SUWRF-2,SUWRF-3,SUWRF-4,SUWRF-5,SUWRF-7
SUWRF-SOURCE-02	source	packages/agent/src/domains/registration/mod.rs	registration	active_current	Startup registers worker_lifecycle as an in-process domain worker	Cargo check and invariant source scan	self_updating_worker_runtime_foundation_invariants	SUWRF-1
SUWRF-SOURCE-03	source	packages/agent/src/engine/invocation/host/substrate_handle.rs	engine	active_current	Trusted domain workers can use narrow resource and grant host methods	Cargo check and focused lifecycle tests	worker_lifecycle tests	SUWRF-3,SUWRF-6
SUWRF-SOURCE-04	source	packages/agent/src/shared/foundation/paths/mod.rs	paths	active_current	Approved local package root is workspace/workers	paths tests and README install tree	self_updating_worker_runtime_foundation_invariants	SUWRF-4
SUWRF-SOURCE-05	source	packages/agent/src/domains/worker_lifecycle/authority.rs	worker_lifecycle	active_current	Authority checks reject bootstrap grants and require trusted apply actors	Focused authority rejection tests	worker_lifecycle tests	SUWRF-3
SUWRF-SOURCE-06	source	packages/agent/src/domains/worker_lifecycle/contract.rs	worker_lifecycle	active_current	Domain contract keeps lifecycle functions engine-internal and out of provider-visible tool expansion	Static no-sprawl invariant	self_updating_worker_runtime_foundation_invariants	SUWRF-1,SUWRF-9
SUWRF-SOURCE-07	source	packages/agent/src/domains/worker_lifecycle/handlers.rs	worker_lifecycle	active_current	Handlers own proposal installation enable disable launch stop retire state transitions including stop to enabled relaunch	Focused lifecycle transition tests	worker_lifecycle tests	SUWRF-2,SUWRF-6,SUWRF-7
SUWRF-SOURCE-08	source	packages/agent/src/domains/worker_lifecycle/launcher.rs	worker_lifecycle	active_current	Launcher owns env-cleared process start fail-safe child drop scoped token handoff conformance wait and launch failure rollback	Launch isolation ownership loss and conformance tests	worker_lifecycle tests	SUWRF-3,SUWRF-4,SUWRF-5,SUWRF-7
SUWRF-SOURCE-09	source	packages/agent/src/domains/worker_lifecycle/manifest.rs	worker_lifecycle	active_current	Manifest validation owns package identity provenance local root verified source-tree digest argv env grants conformance and rollback schema	Manifest digest mismatch tests	worker_lifecycle tests	SUWRF-2
SUWRF-SOURCE-10	source	packages/agent/src/domains/worker_lifecycle/resources.rs	worker_lifecycle	active_current	Resource helpers own generic resource writes links payload preservation lifecycle stream events and startup ownership reconciliation	Resource state and reconciliation tests	worker_lifecycle tests	SUWRF-6,SUWRF-7
SUWRF-SOURCE-11	source	packages/agent/src/domains/worker_lifecycle/tests/mod.rs	worker_lifecycle	active_current	Unit tests cover proposal install enable launch conformance failure launch failure stop relaunch digest mismatch ownership loss reconciliation retire authority rejection and startup reconciliation fencing	16 worker_lifecycle tests passed	worker_lifecycle tests	SUWRF-2,SUWRF-3,SUWRF-4,SUWRF-5,SUWRF-7
SUWRF-SOURCE-12	source	packages/agent/src/domains/worker_lifecycle/inspection/mod.rs	worker_lifecycle	active_current	Read-only lifecycle inspection authorizes and filters scoped worker package resources with explicit read authority kind/schema revalidation archived-resource denial and token env path redaction	Focused worker_package tests	worker_package tests	SUWRF-6,SUWRF-9
SUWRF-SOURCE-13	source	packages/agent/src/domains/worker_lifecycle/inspection/projection.rs	worker_lifecycle	active_current	Bounded lifecycle inspection projections redact token path environment endpoint and lifecycle grant details	Focused worker_package tests	worker_package tests	SUWRF-6,SUWRF-9
SUWRF-SOURCE-14	source	packages/agent/src/domains/worker_lifecycle/tests/inspection_test_support.rs	worker_lifecycle	active_current	Shared inspection test fixtures create scoped worker lifecycle resources and read grants for focused coverage	Focused worker_package tests	worker_package tests	SUWRF-6,SUWRF-9
SUWRF-SOURCE-15	source	packages/agent/src/domains/worker_lifecycle/tests/inspection_tests.rs	worker_lifecycle	active_current	Focused inspection tests cover list inspect lifecycle filters bounds kind/schema revalidation wrong-session denial grant denial wildcard denial archived denial and leakage guards	Focused worker_package tests	worker_package tests	SUWRF-6,SUWRF-9
SUWRF-SOURCE-16	source	packages/agent/src/domains/capability/operations/worker_packages.rs	capability	active_current	Execute adapter exposes read-only worker_package_list and worker_package_inspect results without lifecycle mutation	Execute schema and worker_package tests	capability execute tests	SUWRF-9
SUWRF-RESOURCE-01	resource_kind	worker_package	resource	active_current	Package manifest and current lifecycle state are generic resources	Built-in resource definitions include worker_package	self_updating_worker_runtime_foundation_invariants	SUWRF-2,SUWRF-6
SUWRF-RESOURCE-02	resource_kind	worker_package_installation	resource	active_current	Install enable disable launch running stopped-to-enabled failed unhealthy retired state is generic resource-backed	Focused install enable launch stop and reconcile tests	worker_lifecycle tests	SUWRF-6,SUWRF-7
SUWRF-RESOURCE-03	resource_kind	worker_package_proposal	resource	active_current	Agent-authored proposals are inert records, not activation	Proposal test verifies no package installation	worker_lifecycle tests	SUWRF-3,SUWRF-6
SUWRF-RESOURCE-04	resource_kind	worker_package_conformance_report	resource	active_current	Conformance checks are durable reports linked to launch attempts	Positive launch test verifies report creation	worker_lifecycle tests	SUWRF-5,SUWRF-6
SUWRF-RESOURCE-05	resource_kind	worker_launch_attempt	resource	active_current	Launch attempts record argv env keys endpoint token grant process id failure and ownership-loss evidence	Launch success failure stop and reconcile tests	worker_lifecycle tests	SUWRF-4,SUWRF-7
SUWRF-BOUNDARY-01	boundary	provider-visible tools	capability	scope_boundary	Provider-visible model tool remains execute only	README and invariant no-sprawl scan	self_updating_worker_runtime_foundation_invariants	SUWRF-9
SUWRF-BOUNDARY-02	boundary	/engine/workers	runtime	scope_boundary	Worker protocol host does not own package lifecycle or process launch	Source scan verifies external_workers has no package launch policy	self_updating_worker_runtime_foundation_invariants	SUWRF-1,SUWRF-9
SUWRF-BOUNDARY-03	boundary	iOS fixed product panels	iOS	scope_boundary	No fixed native worker/package/skills/MCP panels added	Source scan and no Swift DTO expansion rationale	self_updating_worker_runtime_foundation_invariants	SUWRF-8,SUWRF-9
SUWRF-BOUNDARY-04	boundary	removed feature buckets	worker_lifecycle	scope_boundary	MCP and skills remain outside SUWRF; memory web scheduler subagents prompt library and program execution may exist only through accepted Phase 2/Phase 3 inventory lineage and narrow metadata/module contracts	BPRC SUWRF P2AER and P3MSA invariants	self_updating_worker_runtime_foundation_invariants	SUWRF-0,SUWRF-9
SUWRF-VALIDATION-01	validation	cargo test --manifest-path packages/agent/Cargo.toml worker_lifecycle -- --quiet	worker_lifecycle	static_gate	Focused lifecycle tests pass	16 worker_lifecycle tests passed	manual command	SUWRF-2,SUWRF-3,SUWRF-4,SUWRF-5,SUWRF-7
SUWRF-VALIDATION-02	validation	packages/agent/tests/self_updating_worker_runtime_foundation_invariants.rs	worker_lifecycle	static_gate	Static invariant target is wired locally and in GitHub	Target appears after BPRC and before primitive_trace	self_updating_worker_runtime_foundation_invariants	SUWRF-9,SUWRF-10
SUWRF-BOUNDARY-05	boundary	tool_sources	source_provenance	scope_boundary	Slice 9A tool_sources records external source proposals and expected worker/package linkage without installing, launching, or registering worker tools	Focused tool_sources tests verify no activation or catalog registration	tool_sources tests	SUWRF-1,SUWRF-9
